A	B	Neither	A Not B	B Not A	Both	Log2 Odds Ratio	p-Value	q-Value	Tendency
BCOR	CDKN2A	174	6	1	1	>3	0.076	1.000	Co-occurrence
ATM	t(15;17)	174	6	1	1	>3	0.076	1.000	Co-occurrence
DNMT3A	IDH1	120	52	4	6	1.791	0.076	1.000	Co-occurrence
BIRC3	SRSF2	168	0	13	1	>3	0.077	1.000	Co-occurrence
MYD88	SRSF2	168	0	13	1	>3	0.077	1.000	Co-occurrence
IL7R	SRSF2	168	0	13	1	>3	0.077	1.000	Co-occurrence
ASXL1	NOTCH1	157	21	2	2	2.902	0.078	1.000	Co-occurrence
inv(16)	NRAS	154	6	19	3	2.019	0.080	1.000	Co-occurrence
MYCN	ZRSR2	175	2	4	1	>3	0.081	1.000	Co-occurrence
HNRNPK	JAK2	175	2	4	1	>3	0.081	1.000	Co-occurrence
chr5loss	EZH2	175	2	4	1	>3	0.081	1.000	Co-occurrence
PHF6	RUNX1	164	5	11	2	2.576	0.081	1.000	Co-occurrence
FLT3	SMC1A	106	70	6	0	<-3	0.084	1.000	Mutual exclusivity
chr8gain	ZRSR2	160	17	3	2	2.650	0.085	1.000	Co-occurrence
NOTCH1	SF3B1	175	3	3	1	>3	0.086	1.000	Co-occurrence
chr17loss	chr7qdel	175	3	3	1	>3	0.086	1.000	Co-occurrence
FLT3	IDH1	103	69	9	1	-2.592	0.091	1.000	Mutual exclusivity
BCOR	SRSF2	163	5	12	2	2.442	0.093	1.000	Co-occurrence
FLT3	TET2	84	60	28	10	-1.000	0.094	1.000	Mutual exclusivity
chr5qdel	HNRNPK	174	5	2	1	>3	0.096	1.000	Co-occurrence
chr5loss	chr5qdel	174	2	5	1	>3	0.096	1.000	Co-occurrence
chr21gain	chr5loss	174	5	2	1	>3	0.096	1.000	Co-occurrence
chr13gain	chr21gain	174	2	5	1	>3	0.096	1.000	Co-occurrence
inv(16)	MAP2K1	172	8	1	1	>3	0.097	1.000	Co-occurrence
ATM	NPM1	117	7	58	0	<-3	0.099	1.000	Mutual exclusivity
NPM1	PHF6	117	58	7	0	<-3	0.099	1.000	Mutual exclusivity
NPM1	SETBP1	124	56	0	2	>3	0.100	1.000	Co-occurrence
chr8gain	PRPF40B	163	18	0	1	>3	0.104	1.000	Co-occurrence
chr8gain	POT1	163	18	0	1	>3	0.104	1.000	Co-occurrence
chr8gain	FBXW7	163	18	0	1	>3	0.104	1.000	Co-occurrence
chr8gain	TBL1XR1	163	18	0	1	>3	0.104	1.000	Co-occurrence
KRAS	NRAS	153	7	19	3	1.787	0.105	1.000	Co-occurrence
CSF1R	RAD21	174	3	4	1	>3	0.106	1.000	Co-occurrence
ETV6	NOTCH1	174	4	3	1	>3	0.106	1.000	Co-occurrence
NOTCH1	ZRSR2	174	3	4	1	>3	0.106	1.000	Co-occurrence
JAK2	NOTCH1	174	4	3	1	>3	0.106	1.000	Co-occurrence
chr7qdel	JAK2	174	3	4	1	>3	0.106	1.000	Co-occurrence
SMC1A	TET2	141	3	35	3	2.010	0.106	1.000	Co-occurrence
NPM1	WT1	113	57	11	1	-2.472	0.107	1.000	Mutual exclusivity
SETBP1	STAG2	171	1	9	1	>3	0.107	1.000	Co-occurrence
KRAS	SETBP1	171	9	1	1	>3	0.107	1.000	Co-occurrence
KRAS	PTEN	171	9	1	1	>3	0.107	1.000	Co-occurrence
ASXL1	FLT3	94	18	65	5	-1.316	0.108	1.000	Mutual exclusivity
BRAF	TET2	143	1	36	2	2.990	0.111	1.000	Co-occurrence
TET2	U2AF1	143	36	1	2	2.990	0.111	1.000	Co-occurrence
ETV6	NRAS	157	3	20	2	2.388	0.111	1.000	Co-occurrence
ATM	MYCN	173	6	2	1	>3	0.112	1.000	Co-occurrence
BCOR	U2AF1	173	6	2	1	>3	0.112	1.000	Co-occurrence
BCOR	t(11;19)	173	6	2	1	>3	0.112	1.000	Co-occurrence
BCORL1	STAG2	163	9	8	2	2.179	0.115	1.000	Co-occurrence
BCORL1	SETBP1	170	10	1	1	>3	0.118	1.000	Co-occurrence
KIT	PTEN	170	10	1	1	>3	0.118	1.000	Co-occurrence
BCORL1	PTEN	170	10	1	1	>3	0.118	1.000	Co-occurrence
BCORL1	chr11qdel	170	10	1	1	>3	0.118	1.000	Co-occurrence
CSF3R	KIT	170	1	10	1	>3	0.118	1.000	Co-occurrence
chr21gain	chr8gain	159	4	17	2	2.225	0.120	1.000	Co-occurrence
ASXL1	RAD21	156	21	3	2	2.308	0.121	1.000	Co-occurrence
ASXL1	ZRSR2	156	21	3	2	2.308	0.121	1.000	Co-occurrence
NOTCH2	NRAS	160	0	21	1	>3	0.121	1.000	Co-occurrence
NRAS	U2AF2	160	21	0	1	>3	0.121	1.000	Co-occurrence
NRAS	RIT1	160	21	0	1	>3	0.121	1.000	Co-occurrence
BRINP3	NRAS	160	0	21	1	>3	0.121	1.000	Co-occurrence
ASXL1	BIRC3	159	22	0	1	>3	0.126	1.000	Co-occurrence
ASXL1	MYD88	159	22	0	1	>3	0.126	1.000	Co-occurrence
ASXL1	TBL1XR1	159	22	0	1	>3	0.126	1.000	Co-occurrence
chr5qdel	SF3B1	173	5	3	1	>3	0.126	1.000	Co-occurrence
IDH2	NOTCH1	150	28	2	2	2.421	0.127	1.000	Co-occurrence
chr7qdel	IDH2	150	2	28	2	2.421	0.127	1.000	Co-occurrence
CSF3R	WT1	169	1	11	1	>3	0.128	1.000	Co-occurrence
MAP2K1	WT1	169	1	11	1	>3	0.128	1.000	Co-occurrence
BCORL1	NRAS	152	8	19	3	1.585	0.133	1.000	Co-occurrence
chr8gain	FLT3	97	15	66	4	-1.351	0.135	1.000	Mutual exclusivity
MAP2K1	RUNX1	168	1	12	1	>3	0.138	1.000	Co-occurrence
chr11qdel	TP53	168	1	12	1	>3	0.138	1.000	Co-occurrence
IDH2	TET2	117	27	35	3	-1.429	0.142	1.000	Mutual exclusivity
BRAF	NF1	171	2	8	1	>3	0.142	1.000	Co-occurrence
chr22gain	NF1	171	2	8	1	>3	0.142	1.000	Co-occurrence
chr22gain	inv(16)	171	2	8	1	>3	0.142	1.000	Co-occurrence
chr5loss	NF1	171	2	8	1	>3	0.142	1.000	Co-occurrence
BCOR	CSF1R	172	6	3	1	>3	0.146	1.000	Co-occurrence
ATM	chr7loss	172	6	3	1	>3	0.146	1.000	Co-occurrence
chr11qdel	SRSF2	167	1	13	1	>3	0.148	1.000	Co-occurrence
IDH1	RUNX1	161	8	11	2	1.871	0.153	1.000	Co-occurrence
FLT3	PTPN11	105	69	7	1	-2.202	0.155	1.000	Mutual exclusivity
ETV6	SMC1A	172	4	5	1	>3	0.156	1.000	Co-occurrence
RAD21	SMC1A	172	4	5	1	>3	0.156	1.000	Co-occurrence
JAK2	SMC1A	172	4	5	1	>3	0.156	1.000	Co-occurrence
RAD21	t(8;21)	172	4	5	1	>3	0.156	1.000	Co-occurrence
JAK2	t(8;21)	172	4	5	1	>3	0.156	1.000	Co-occurrence
chr5qdel	EZH2	172	5	4	1	>3	0.156	1.000	Co-occurrence
chr5qdel	JAK2	172	5	4	1	>3	0.156	1.000	Co-occurrence
chr21gain	ETV6	172	5	4	1	>3	0.156	1.000	Co-occurrence
chr21gain	EZH2	172	5	4	1	>3	0.156	1.000	Co-occurrence
chr21gain	ZRSR2	172	5	4	1	>3	0.156	1.000	Co-occurrence
FLT3	inv(16)	104	69	8	1	-2.408	0.156	1.000	Mutual exclusivity
CBL	IDH1	170	2	9	1	>3	0.157	1.000	Co-occurrence
CBL	STAG2	170	2	9	1	>3	0.157	1.000	Co-occurrence
STAG2	t(11;19)	170	9	2	1	>3	0.157	1.000	Co-occurrence
KRAS	t(11;19)	170	9	2	1	>3	0.157	1.000	Co-occurrence
chr5loss	IDH1	170	2	9	1	>3	0.157	1.000	Co-occurrence
BCOR	chr8gain	158	5	17	2	1.894	0.158	1.000	Co-occurrence
NRAS	WT1	151	19	9	3	1.406	0.163	1.000	Co-occurrence
BIRC3	IDH2	152	0	29	1	>3	0.165	1.000	Co-occurrence
IDH2	MYD88	152	29	0	1	>3	0.165	1.000	Co-occurrence
chr7loss	PTPN11	171	3	7	1	>3	0.166	1.000	Co-occurrence
PTPN11	SF3B1	171	7	3	1	>3	0.166	1.000	Co-occurrence
BCORL1	BRAF	169	10	2	1	>3	0.171	1.000	Co-occurrence
BCORL1	U2AF1	169	10	2	1	>3	0.171	1.000	Co-occurrence
DNMT3A	STAG2	115	57	9	1	-2.157	0.173	1.000	Mutual exclusivity
SRSF2	STAG2	160	12	8	2	1.737	0.173	1.000	Co-occurrence
SRSF2	TET2	135	9	33	5	1.184	0.174	1.000	Co-occurrence
NRAS	TET2	124	20	36	2	-1.538	0.174	1.000	Mutual exclusivity
BCORL1	DNMT3A	114	10	57	1	-2.322	0.178	1.000	Mutual exclusivity
BCORL1	NPM1	114	10	57	1	-2.322	0.178	1.000	Mutual exclusivity
NPM1	SMC1A	118	58	6	0	<-3	0.179	1.000	Mutual exclusivity
NPM1	t(8;21)	118	58	6	0	<-3	0.179	1.000	Mutual exclusivity
chr5qdel	NPM1	118	6	58	0	<-3	0.179	1.000	Mutual exclusivity
chr21gain	DNMT3A	118	6	58	0	<-3	0.179	1.000	Mutual exclusivity
chr21gain	NPM1	118	6	58	0	<-3	0.179	1.000	Mutual exclusivity
MYC	NPM1	119	5	58	0	<-3	0.179	1.000	Mutual exclusivity
EZH2	NPM1	119	5	58	0	<-3	0.179	1.000	Mutual exclusivity
DNMT3A	ZRSR2	119	58	5	0	<-3	0.179	1.000	Mutual exclusivity
NPM1	ZRSR2	119	58	5	0	<-3	0.179	1.000	Mutual exclusivity
DNMT3A	JAK2	119	58	5	0	<-3	0.179	1.000	Mutual exclusivity
JAK2	NPM1	119	5	58	0	<-3	0.179	1.000	Mutual exclusivity
EZH2	PHF6	171	4	6	1	2.833	0.180	1.000	Co-occurrence
JAK2	PHF6	171	4	6	1	2.833	0.180	1.000	Co-occurrence
ASXL1	WT1	150	20	9	3	1.322	0.181	1.000	Co-occurrence
SMC1A	t(8;21)	171	5	5	1	2.774	0.185	1.000	Co-occurrence
chr21gain	SMC1A	171	5	5	1	2.774	0.185	1.000	Co-occurrence
NF1	SF3B1	170	8	3	1	2.824	0.185	1.000	Co-occurrence
CSF1R	NF1	170	3	8	1	2.824	0.185	1.000	Co-occurrence
NF1	NOTCH1	170	8	3	1	2.824	0.185	1.000	Co-occurrence
chr7loss	NF1	170	3	8	1	2.824	0.185	1.000	Co-occurrence
CSF1R	inv(16)	170	3	8	1	2.824	0.185	1.000	Co-occurrence
MYCN	WT1	168	2	11	1	2.933	0.186	1.000	Co-occurrence
ETV6	IDH2	149	3	28	2	1.827	0.191	1.000	Co-occurrence
IDH2	JAK2	149	28	3	2	1.827	0.191	1.000	Co-occurrence
chr8gain	t(15;17)	162	18	1	1	>3	0.198	1.000	Co-occurrence
chr11qdel	chr8gain	162	1	18	1	>3	0.198	1.000	Co-occurrence
chr8gain	MAP2K1	162	18	1	1	>3	0.198	1.000	Co-occurrence
CDKN2A	chr8gain	162	1	18	1	>3	0.198	1.000	Co-occurrence
HNRNPK	TP53	167	2	12	1	2.799	0.200	1.000	Co-occurrence
chr13gain	TP53	167	2	12	1	2.799	0.200	1.000	Co-occurrence
ATM	NRAS	155	5	20	2	1.632	0.201	1.000	Co-occurrence
BCORL1	SRSF2	159	9	12	2	1.558	0.203	1.000	Co-occurrence
PTPN11	RAD21	170	7	4	1	2.602	0.203	1.000	Co-occurrence
IDH1	SF3B1	169	9	3	1	2.646	0.204	1.000	Co-occurrence
KRAS	NOTCH1	169	9	3	1	2.646	0.204	1.000	Co-occurrence
chr17loss	IDH1	169	3	9	1	2.646	0.204	1.000	Co-occurrence
POT1	TET2	144	0	37	1	>3	0.209	1.000	Co-occurrence
IL7R	TET2	144	0	37	1	>3	0.209	1.000	Co-occurrence
TBL1XR1	TET2	144	0	37	1	>3	0.209	1.000	Co-occurrence
PHF6	SMC1A	170	6	5	1	2.503	0.212	1.000	Co-occurrence
ATM	t(8;21)	170	6	5	1	2.503	0.212	1.000	Co-occurrence
chr22gain	SRSF2	166	2	13	1	2.675	0.215	1.000	Co-occurrence
chr13gain	SRSF2	166	2	13	1	2.675	0.215	1.000	Co-occurrence
ASXL1	RUNX1	149	20	10	3	1.160	0.216	1.000	Co-occurrence
KRAS	TET2	138	6	34	4	1.436	0.221	1.000	Co-occurrence
IDH2	WT1	140	30	12	0	<-3	0.221	1.000	Mutual exclusivity
BCORL1	CSF1R	168	10	3	1	2.485	0.222	1.000	Co-occurrence
chr17loss	KIT	168	3	10	1	2.485	0.222	1.000	Co-occurrence
EZH2	NF1	169	4	8	1	2.401	0.226	1.000	Co-occurrence
ETV6	NF1	169	4	8	1	2.401	0.226	1.000	Co-occurrence
inv(16)	MYC	169	8	4	1	2.401	0.226	1.000	Co-occurrence
EZH2	inv(16)	169	4	8	1	2.401	0.226	1.000	Co-occurrence
inv(16)	RAD21	169	8	4	1	2.401	0.226	1.000	Co-occurrence
MAP2K1	NRAS	159	1	21	1	2.921	0.228	1.000	Co-occurrence
NRAS	PTEN	159	21	1	1	2.921	0.228	1.000	Co-occurrence
NRAS	t(15;17)	159	21	1	1	2.921	0.228	1.000	Co-occurrence
chr11qdel	NRAS	159	1	21	1	2.921	0.228	1.000	Co-occurrence
DNMT3A	TP53	113	56	11	2	-1.447	0.231	1.000	Mutual exclusivity
DNMT3A	RUNX1	113	56	11	2	-1.447	0.231	1.000	Mutual exclusivity
IDH2	RUNX1	143	26	9	4	1.290	0.234	1.000	Co-occurrence
ASXL1	SETBP1	158	22	1	1	2.844	0.237	1.000	Co-occurrence
CBL	NPM1	123	1	56	2	2.135	0.239	1.000	Co-occurrence
BRAF	NPM1	123	1	56	2	2.135	0.239	1.000	Co-occurrence
DNMT3A	U2AF1	123	56	1	2	2.135	0.239	1.000	Co-occurrence
HNRNPK	NPM1	123	1	56	2	2.135	0.239	1.000	Co-occurrence
chr8gain	inv(16)	156	17	7	2	1.391	0.239	1.000	Co-occurrence
chr5qdel	PTPN11	169	5	7	1	2.272	0.239	1.000	Co-occurrence
IDH1	MYC	168	9	4	1	2.222	0.249	1.000	Co-occurrence
EZH2	IDH1	168	4	9	1	2.222	0.249	1.000	Co-occurrence
ETV6	KRAS	168	4	9	1	2.222	0.249	1.000	Co-occurrence
STAG2	ZRSR2	168	9	4	1	2.222	0.249	1.000	Co-occurrence
IDH1	JAK2	168	9	4	1	2.222	0.249	1.000	Co-occurrence
JAK2	STAG2	168	4	9	1	2.222	0.249	1.000	Co-occurrence
ATM	FLT3	106	6	69	1	-1.966	0.252	1.000	Mutual exclusivity
FLT3	PHF6	106	69	6	1	-1.966	0.252	1.000	Mutual exclusivity
FLT3	SRSF2	101	67	11	3	-1.282	0.254	1.000	Mutual exclusivity
chr7loss	TP53	166	3	12	1	2.205	0.258	1.000	Co-occurrence
NF1	SMC1A	168	8	5	1	2.070	0.266	1.000	Co-occurrence
KIT	MYC	167	10	4	1	2.062	0.270	1.000	Co-occurrence
BCORL1	MYC	167	10	4	1	2.062	0.270	1.000	Co-occurrence
BCORL1	JAK2	167	10	4	1	2.062	0.270	1.000	Co-occurrence
ATM	PTPN11	168	6	7	1	2.000	0.274	1.000	Co-occurrence
BCOR	PTPN11	168	6	7	1	2.000	0.274	1.000	Co-occurrence
CSF1R	SRSF2	165	3	13	1	2.081	0.276	1.000	Co-occurrence
NOTCH1	SRSF2	165	3	13	1	2.081	0.276	1.000	Co-occurrence
TET2	ZRSR2	141	36	3	2	1.385	0.280	1.000	Co-occurrence
chr8gain	KRAS	155	17	8	2	1.189	0.280	1.000	Co-occurrence
CBL	chr8gain	161	2	18	1	2.161	0.283	1.000	Co-occurrence
BRAF	chr8gain	161	2	18	1	2.161	0.283	1.000	Co-occurrence
BRAF	FLT3	109	3	70	0	<-3	0.286	1.000	Mutual exclusivity
FLT3	U2AF1	109	70	3	0	<-3	0.286	1.000	Mutual exclusivity
chr22gain	FLT3	109	3	70	0	<-3	0.286	1.000	Mutual exclusivity
chr5loss	FLT3	109	3	70	0	<-3	0.286	1.000	Mutual exclusivity
STAG2	t(8;21)	167	9	5	1	1.892	0.291	1.000	Co-occurrence
KRAS	t(8;21)	167	9	5	1	1.892	0.291	1.000	Co-occurrence
chr5qdel	IDH1	167	5	9	1	1.892	0.291	1.000	Co-occurrence
MYC	WT1	166	4	11	1	1.916	0.292	1.000	Co-occurrence
FLT3	NOTCH1	108	70	4	0	<-3	0.300	1.000	Mutual exclusivity
chr17loss	FLT3	108	4	70	0	<-3	0.300	1.000	Mutual exclusivity
chr7loss	FLT3	108	4	70	0	<-3	0.300	1.000	Mutual exclusivity
chr7qdel	FLT3	108	4	70	0	<-3	0.300	1.000	Mutual exclusivity
inv(16)	PHF6	167	8	6	1	1.799	0.303	1.000	Co-occurrence
BCOR	inv(16)	167	6	8	1	1.799	0.303	1.000	Co-occurrence
DNMT3A	SF3B1	120	58	4	0	<-3	0.308	1.000	Mutual exclusivity
NOTCH1	NPM1	120	4	58	0	<-3	0.308	1.000	Mutual exclusivity
chr17loss	NPM1	120	4	58	0	<-3	0.308	1.000	Mutual exclusivity
chr7loss	DNMT3A	120	4	58	0	<-3	0.308	1.000	Mutual exclusivity
chr7loss	NPM1	120	4	58	0	<-3	0.308	1.000	Mutual exclusivity
chr7qdel	NPM1	120	4	58	0	<-3	0.308	1.000	Mutual exclusivity
ETV6	RUNX1	165	4	12	1	1.781	0.313	1.000	Co-occurrence
TP53	ZRSR2	165	12	4	1	1.781	0.313	1.000	Co-occurrence
JAK2	TP53	165	4	12	1	1.781	0.313	1.000	Co-occurrence
JAK2	RUNX1	165	4	12	1	1.781	0.313	1.000	Co-occurrence
BCORL1	t(8;21)	166	10	5	1	1.731	0.316	1.000	Co-occurrence
chr5qdel	KIT	166	5	10	1	1.731	0.316	1.000	Co-occurrence
DNMT3A	RIT1	124	57	0	1	>3	0.319	1.000	Co-occurrence
NPM1	RIT1	124	57	0	1	>3	0.319	1.000	Co-occurrence
ABL1	DNMT3A	124	0	57	1	>3	0.319	1.000	Co-occurrence
ABL1	NPM1	124	0	57	1	>3	0.319	1.000	Co-occurrence
BRINP3	DNMT3A	124	0	57	1	>3	0.319	1.000	Co-occurrence
BRINP3	NPM1	124	0	57	1	>3	0.319	1.000	Co-occurrence
DNMT3A	FBXW7	124	57	0	1	>3	0.319	1.000	Co-occurrence
NPM1	TBL1XR1	124	57	0	1	>3	0.319	1.000	Co-occurrence
NRAS	U2AF1	158	21	2	1	1.911	0.322	1.000	Co-occurrence
HNRNPK	NRAS	158	2	21	1	1.911	0.322	1.000	Co-occurrence
DNMT3A	TET2	101	43	23	15	0.615	0.328	1.000	Co-occurrence
DNMT3A	MYC	122	55	2	3	1.734	0.329	1.000	Co-occurrence
DNMT3A	RAD21	122	55	2	3	1.734	0.329	1.000	Co-occurrence
BCOR	KRAS	166	6	9	1	1.620	0.331	1.000	Co-occurrence
ATM	KRAS	166	6	9	1	1.620	0.331	1.000	Co-occurrence
SRSF2	ZRSR2	164	13	4	1	1.657	0.333	1.000	Co-occurrence
JAK2	SRSF2	164	4	13	1	1.657	0.333	1.000	Co-occurrence
ASXL1	BRAF	157	22	2	1	1.835	0.335	1.000	Co-occurrence
t(8;21)	WT1	165	5	11	1	1.585	0.340	1.000	Co-occurrence
ASXL1	NPM1	106	18	53	5	-0.848	0.342	1.000	Mutual exclusivity
DNMT3A	WT1	114	56	10	2	-1.296	0.343	1.000	Mutual exclusivity
chr5qdel	TET2	138	6	38	0	<-3	0.346	1.000	Mutual exclusivity
ATM	TET2	137	7	38	0	<-3	0.348	1.000	Mutual exclusivity
PHF6	TET2	137	7	38	0	<-3	0.348	1.000	Mutual exclusivity
KIT	PHF6	165	10	6	1	1.459	0.359	1.000	Co-occurrence
BCORL1	PHF6	165	10	6	1	1.459	0.359	1.000	Co-occurrence
BCOR	KIT	165	6	10	1	1.459	0.359	1.000	Co-occurrence
IDH2	NF1	143	30	9	0	<-3	0.359	1.000	Mutual exclusivity
IDH2	inv(16)	143	30	9	0	<-3	0.359	1.000	Mutual exclusivity
RUNX1	SMC1A	164	12	5	1	1.451	0.363	1.000	Co-occurrence
chr21gain	RUNX1	164	5	12	1	1.451	0.363	1.000	Co-occurrence
ASXL1	KIT	148	23	11	0	<-3	0.364	1.000	Mutual exclusivity
KIT	NRAS	149	11	22	0	<-3	0.365	1.000	Mutual exclusivity
IDH1	PTPN11	165	9	7	1	1.389	0.370	1.000	Co-occurrence
NRAS	RUNX1	147	22	13	0	<-3	0.372	1.000	Mutual exclusivity
IDH1	IDH2	142	10	30	0	<-3	0.372	1.000	Mutual exclusivity
inv(16)	NF1	165	8	8	1	1.366	0.373	1.000	Co-occurrence
SETBP1	TET2	143	1	37	1	1.950	0.375	1.000	Co-occurrence
PTEN	TET2	143	1	37	1	1.950	0.375	1.000	Co-occurrence
FLT3	NOTCH2	112	69	0	1	>3	0.385	1.000	Co-occurrence
FLT3	U2AF2	112	69	0	1	>3	0.385	1.000	Co-occurrence
FLT3	GATA2	112	69	0	1	>3	0.385	1.000	Co-occurrence
ABL1	FLT3	112	0	69	1	>3	0.385	1.000	Co-occurrence
BRINP3	FLT3	112	0	69	1	>3	0.385	1.000	Co-occurrence
FLT3	IL7R	112	69	0	1	>3	0.385	1.000	Co-occurrence
chr21gain	SRSF2	163	5	13	1	1.326	0.386	1.000	Co-occurrence
NF1	TET2	138	6	35	3	0.979	0.398	1.000	Co-occurrence
