"A"	"B"	"Neither"	"A.Not.B"	"B.Not.A"	"Both"	"or"	"pval"	"logor"	"nlp"	"adjp"
"NPM1"	"PTPN11"	122	52	2	6	6.95515966153707	0.0136179694002323	1.93948378147957	1.86588764602235	1
"chr22gain"	"TP53"	168	1	11	2	28.9164544539666	0.0136279926335175	3.3644107913642	1.86556810985787	1
"DNMT3A"	"FLT3"	84	28	40	30	2.23949464500009	0.014407577134236	0.806250235503658	1.84140904664625	1
"BRINP3"	"HNRNPK"	179	0	2	1	Inf	0.0164835164835165	Inf	1.78295013326541	1
"ASXL1"	"SRSF2"	150	18	9	5	4.56999584091246	0.0191590723074966	1.5195122948209	1.71762552351891	1
"ASXL1"	"STAG2"	153	19	6	4	5.28838113468789	0.0245940091176016	1.66551217534691	1.60917067029622	1
"chr7qdel"	"TP53"	167	2	11	2	14.6037250032311	0.0261468975379899	2.68127663337994	1.58257983498275	1
"POT1"	"ZRSR2"	177	0	4	1	Inf	0.0274725274725274	Inf	1.56110138364906	1
"chr22gain"	"chr8gain"	162	1	17	2	18.3952513262177	0.029184627527169	2.91209255120968	1.53484584506163	1
"chr13gain"	"chr8gain"	162	1	17	2	18.3952513262177	0.029184627527169	2.91209255120968	1.53484584506163	1
"chr21gain"	"inv(16)"	169	4	7	2	11.6358612316329	0.0295112770541486	2.45409181478261	1.53001199668203	1
"NPM1"	"TET2"	104	40	20	18	2.32808216891774	0.0304879356493968	0.845044825173169	1.51587198089626	1
"chr8gain"	"TET2"	133	11	30	8	3.1980814227266	0.0315644493822071	1.16255107460253	1.50080178220721	1
"BRAF"	"SETBP1"	178	2	1	1	72.9128658898574	0.0327848946633476	4.28926511027196	1.48432620736731	1
"chr11qdel"	"chr22gain"	178	1	2	1	72.9128658898574	0.0327848946633478	4.28926511027196	1.48432620736731	1
"chr11qdel"	"chr13gain"	178	1	2	1	72.9128658898574	0.0327848946633478	4.28926511027196	1.48432620736731	1
"CDH2"	"t(8;21)"	176	0	5	1	Inf	0.032967032967033	Inf	1.48192013760143	1
"chr21gain"	"POT1"	176	5	0	1	Inf	0.0329670329670331	Inf	1.48192013760143	1
"BCOR"	"PRPF40B"	175	6	0	1	Inf	0.0384615384615383	Inf	1.41497334797082	1
"FBXW7"	"PHF6"	175	0	6	1	Inf	0.0384615384615384	Inf	1.41497334797082	1
"BCOR"	"SF1"	175	6	0	1	Inf	0.0384615384615383	Inf	1.41497334797082	1
"NRAS"	"t(11;19)"	159	20	1	2	15.4304753324829	0.0389573593993484	2.73634447163505	1.40941048806542	1
"EZH2"	"TP53"	166	3	11	2	9.76922802320468	0.0418072504896519	2.27923744790773	1.37874839347415	1
"KIT"	"t(8;21)"	167	9	4	2	9.01566969568499	0.0437384217847558	2.19896414071645	1.35913689168104	1
"chr22gain"	"chr5loss"	177	2	2	1	39.0893130439237	0.0489051464189587	3.66584910594678	1.3106454365052	1
"chr13gain"	"chr22gain"	177	2	2	1	39.0893130439237	0.0489051464189587	3.66584910594678	1.3106454365052	1
"inv(16)"	"SF1"	173	8	0	1	Inf	0.0494505494505496	Inf	1.30582887854575	1
"FLT3"	"KIT"	102	69	10	1	0.148932052796828	0.0530625547161599	-1.9042650985439	1.2752118445832	1
"CSF3R"	"MYC"	176	1	4	1	39.4401187078189	0.0543379272661041	3.67478353956304	1.26489693187437	1
"FBXW7"	"IDH1"	172	0	9	1	Inf	0.0549450549450549	Inf	1.26007138798508	1
"BCOR"	"BCORL1"	166	5	9	2	7.20459370667168	0.059195236087804	1.9747188373926	1.2277132430073	1
"DNMT3A"	"inv(16)"	115	58	9	0	0	0.0592939192907889	-Inf	1.22698984211402	1
"inv(16)"	"NPM1"	115	9	58	0	0	0.059293919290789	-Inf	1.22698984211402	1
"CDH2"	"KIT"	171	0	10	1	Inf	0.0604395604395604	Inf	1.21867870282685	1
"KIT"	"SF1"	171	10	0	1	Inf	0.0604395604395607	Inf	1.21867870282685	1
"KIT"	"t(16;16)"	171	10	0	1	Inf	0.0604395604395607	Inf	1.21867870282685	1
"FLT3"	"WT1"	108	62	4	8	3.45896934767988	0.0616295454069797	1.24097066830255	1.21021103570869	1
"NPM1"	"RUNX1"	112	57	12	1	0.164819031997797	0.0646853498576412	-1.80290718275117	1.18919406858057	1
"CBL"	"SF3B1"	176	2	3	1	26.8337894594313	0.0648452836298139	3.28966189410006	1.1881216058256	1
"chr7loss"	"U2AF1"	176	3	2	1	26.8337894594305	0.064845283629814	3.28966189410003	1.1881216058256	1
"chr5loss"	"chr7loss"	176	2	3	1	26.8337894594313	0.0648452836298139	3.28966189410006	1.1881216058256	1
"chr7qdel"	"U2AF1"	176	3	2	1	26.8337894594305	0.064845283629814	3.28966189410003	1.1881216058256	1
"chr7qdel"	"HNRNPK"	176	3	2	1	26.8337894594305	0.064845283629814	3.28966189410003	1.1881216058256	1
"chr17loss"	"chr5loss"	176	3	2	1	26.8337894594305	0.064845283629814	3.28966189410003	1.1881216058256	1
"CSF3R"	"t(8;21)"	175	1	5	1	32.0363453310349	0.0650233744156396	3.46687104987128	1.18693049635842	1
"PTEN"	"t(8;21)"	175	1	5	1	32.0363453310349	0.0650233744156396	3.46687104987128	1.18693049635842	1
"chr11qdel"	"chr21gain"	175	1	5	1	32.0363453310349	0.0650233744156396	3.46687104987128	1.18693049635842	1
"RUNX1"	"SRSF2"	158	10	11	3	4.25267415360119	0.0655721268604158	1.44754799767711	1.18328072957487	1
"GATA2"	"WT1"	170	0	11	1	Inf	0.0659340659340659	Inf	1.18089014193745	1
"SMC1A"	"SRSF2"	164	4	12	2	6.68961380211684	0.0691283180597276	1.90055614483808	1.16034400967717	1
"ATM"	"WT1"	165	5	10	2	6.46199868881514	0.0696986385557232	1.86593866449531	1.15677570502267	1
"HNRNPK"	"IDH2"	151	1	28	2	10.5608192559982	0.0710137008479551	2.3571508563293	1.14865785369453	1
"BIRC3"	"RUNX1"	169	0	12	1	Inf	0.0714285714285714	Inf	1.14612803567824	1
"MYD88"	"RUNX1"	169	0	12	1	Inf	0.0714285714285714	Inf	1.14612803567824	1
"TET2"	"TP53"	131	38	13	0	0	0.0733410863867554	-Inf	1.134652661211	1
"TET2"	"WT1"	132	38	12	0	0	0.0742639784696031	-Inf	1.12922178846412	1
"ATM"	"CDKN2A"	174	6	1	1	26.9259332762264	0.0756481087972804	3.29308988451143	1.12120192486713	1
"BCOR"	"CDKN2A"	174	6	1	1	26.9259332762264	0.0756481087972804	3.29308988451143	1.12120192486713	1
"ATM"	"t(15;17)"	174	6	1	1	26.9259332762264	0.0756481087972804	3.29308988451143	1.12120192486713	1
"DNMT3A"	"IDH1"	120	52	4	6	3.43499951444741	0.0763269866649108	1.23401678431984	1.11732188291689	1
"BIRC3"	"SRSF2"	168	0	13	1	Inf	0.0769230769230769	Inf	1.11394335230684	1
"MYD88"	"SRSF2"	168	0	13	1	Inf	0.0769230769230769	Inf	1.11394335230684	1
"IL7R"	"SRSF2"	168	0	13	1	Inf	0.0769230769230769	Inf	1.11394335230684	1
"ASXL1"	"NOTCH1"	157	21	2	2	7.33217869003149	0.0784263567127236	1.9922727009341	1.10553795962094	1
"inv(16)"	"NRAS"	154	6	19	3	4.00528776033811	0.079745665706325	1.3876154282109	1.09829291217021	1
"MYCN"	"ZRSR2"	175	2	4	1	20.4229140301874	0.080606318175379	3.01665750726562	1.09363091550061	1
"HNRNPK"	"JAK2"	175	2	4	1	20.4229140301874	0.080606318175379	3.01665750726562	1.09363091550061	1
"chr5loss"	"EZH2"	175	2	4	1	20.4229140301874	0.080606318175379	3.01665750726562	1.09363091550061	1
"PHF6"	"RUNX1"	164	5	11	2	5.85144136628163	0.0808198882276377	1.76668801829394	1.09248175451393	1
"FLT3"	"SMC1A"	106	70	6	0	0	0.0835199805733956	-Inf	1.07820961535795	1
"chr8gain"	"ZRSR2"	160	17	3	2	6.1611948727191	0.0854937182216669	1.81827073157914	1.06806579453371	1
"NOTCH1"	"SF3B1"	175	3	3	1	18.242988766383	0.0857425957274718	2.90378082902905	1.06680337301744	1
"chr17loss"	"chr7qdel"	175	3	3	1	18.242988766383	0.0857425957274718	2.90378082902905	1.06680337301744	1
"FLT3"	"IDH1"	103	69	9	1	0.167046181251583	0.0913877367080373	-1.78948497035337	1.03911207819781	1
"BCOR"	"SRSF2"	163	5	12	2	5.34021823052399	0.0925114583955478	1.67526651927639	1.03380447256082	1
"FLT3"	"TET2"	84	60	28	10	0.501816601599122	0.0941124515700038	-0.689520561501582	1.02635291333791	1
"chr5qdel"	"HNRNPK"	174	5	2	1	16.4533564066315	0.0961892619351184	2.80052949327598	1.01687340761518	1
"chr5loss"	"chr5qdel"	174	2	5	1	16.4533564066311	0.0961892619351182	2.80052949327596	1.01687340761518	1
"chr21gain"	"chr5loss"	174	5	2	1	16.4533564066315	0.0961892619351184	2.80052949327598	1.01687340761518	1
"chr13gain"	"chr21gain"	174	2	5	1	16.4533564066311	0.0961892619351182	2.80052949327596	1.01687340761518	1
"inv(16)"	"MAP2K1"	172	8	1	1	20.3292600556776	0.0967154392568754	3.01206123030683	1.01450419138915	1
"ATM"	"NPM1"	117	7	58	0	0	0.0989404589688869	-Inf	1.00462607934487	1
"NPM1"	"PHF6"	117	58	7	0	0	0.0989404589688869	-Inf	1.00462607934487	1
"NPM1"	"SETBP1"	124	56	0	2	Inf	0.100358205330581	Inf	0.998447113618831	1
"chr8gain"	"PRPF40B"	163	18	0	1	Inf	0.104395604395604	Inf	0.981317787032247	1
"chr8gain"	"POT1"	163	18	0	1	Inf	0.104395604395604	Inf	0.981317787032247	1
"chr8gain"	"FBXW7"	163	18	0	1	Inf	0.104395604395604	Inf	0.981317787032247	1
"chr8gain"	"TBL1XR1"	163	18	0	1	Inf	0.104395604395604	Inf	0.981317787032247	1
"KRAS"	"NRAS"	153	7	19	3	3.41712848806141	0.104957851575456	1.22880057501953	0.978985067626129	1
"CSF1R"	"RAD21"	174	3	4	1	13.8007161113745	0.106287705935843	2.6247204829454	0.973516966455075	1
"ETV6"	"NOTCH1"	174	4	3	1	13.8007161113747	0.106287705935843	2.62472048294541	0.973516966455075	1
"NOTCH1"	"ZRSR2"	174	3	4	1	13.8007161113745	0.106287705935843	2.6247204829454	0.973516966455075	1
"JAK2"	"NOTCH1"	174	4	3	1	13.8007161113747	0.106287705935843	2.62472048294541	0.973516966455075	1
"chr7qdel"	"JAK2"	174	3	4	1	13.8007161113745	0.106287705935843	2.6247204829454	0.973516966455075	1
"SMC1A"	"TET2"	141	3	35	3	3.9877071448372	0.106498100093696	1.3832164153102	0.972658139888942	1
"NPM1"	"WT1"	113	57	11	1	0.181423880284746	0.10685282650239	-1.70691910561735	0.971213985262613	1
"SETBP1"	"STAG2"	171	1	9	1	18.0736380133746	0.107158035334831	2.89445441324858	0.969975257466436	1
"KRAS"	"SETBP1"	171	9	1	1	18.0736380133746	0.107158035334831	2.89445441324858	0.969975257466436	1
"KRAS"	"PTEN"	171	9	1	1	18.0736380133746	0.107158035334831	2.89445441324858	0.969975257466436	1
"ASXL1"	"FLT3"	94	18	65	5	0.403540210316854	0.107714853188314	-0.907479142416046	0.967724406145372	1
"BRAF"	"TET2"	143	1	36	2	7.82004880082857	0.110970797158642	2.05669079505291	0.954791294199638	1
"TET2"	"U2AF1"	143	36	1	2	7.82004880082857	0.110970797158642	2.05669079505291	0.954791294199638	1
"ETV6"	"NRAS"	157	3	20	2	5.15454754275493	0.111494783927454	1.63987934305526	0.952745449786334	1
"ATM"	"MYCN"	173	6	2	1	13.7585130452025	0.111595126788497	2.62165776309051	0.952354770049646	1
"BCOR"	"U2AF1"	173	6	2	1	13.7585130452025	0.111595126788497	2.62165776309051	0.952354770049646	1
"BCOR"	"t(11;19)"	173	6	2	1	13.7585130452025	0.111595126788497	2.62165776309051	0.952354770049646	1
"BCORL1"	"STAG2"	163	9	8	2	4.4620325504257	0.114609123512392	1.49560439101414	0.940780808778985	1
"BCORL1"	"SETBP1"	170	10	1	1	16.2571138468046	0.11753991864489	2.78853058816812	0.929814614217907	1
"KIT"	"PTEN"	170	10	1	1	16.2571138468046	0.11753991864489	2.78853058816812	0.929814614217907	1
"BCORL1"	"PTEN"	170	10	1	1	16.2571138468046	0.11753991864489	2.78853058816812	0.929814614217907	1
"BCORL1"	"chr11qdel"	170	10	1	1	16.2571138468046	0.11753991864489	2.78853058816812	0.929814614217907	1
"CSF3R"	"KIT"	170	1	10	1	16.2571138468057	0.117539918644891	2.78853058816819	0.929814614217903	1
"chr21gain"	"chr8gain"	159	4	17	2	4.61056290571189	0.120277421719175	1.5283499549148	0.919815890058853	1
"ASXL1"	"RAD21"	156	21	3	2	4.88218468361522	0.120680458153768	1.58559280075448	0.918363049729435	1
"ASXL1"	"ZRSR2"	156	21	3	2	4.88218468361522	0.120680458153768	1.58559280075448	0.918363049729435	1
"NOTCH2"	"NRAS"	160	0	21	1	Inf	0.120879120879121	Inf	0.917648707162868	1
"NRAS"	"U2AF2"	160	21	0	1	Inf	0.120879120879121	Inf	0.917648707162868	1
"NRAS"	"RIT1"	160	21	0	1	Inf	0.120879120879121	Inf	0.917648707162868	1
"BRINP3"	"NRAS"	160	0	21	1	Inf	0.120879120879121	Inf	0.917648707162868	1
"ASXL1"	"BIRC3"	159	22	0	1	Inf	0.126373626373626	Inf	0.898343551967483	1
"ASXL1"	"MYD88"	159	22	0	1	Inf	0.126373626373626	Inf	0.898343551967483	1
"ASXL1"	"TBL1XR1"	159	22	0	1	Inf	0.126373626373626	Inf	0.898343551967483	1
"chr5qdel"	"SF3B1"	173	5	3	1	11.0814367478734	0.126484593937293	2.40527134329835	0.897962369155982	1
"IDH2"	"NOTCH1"	150	28	2	2	5.2831097998198	0.127453510922136	1.66451490157775	0.894648196655219	1
"chr7qdel"	"IDH2"	150	2	28	2	5.2831097998198	0.127453510922136	1.66451490157775	0.894648196655219	1
"CSF3R"	"WT1"	169	1	11	1	14.7524282318759	0.127861089187056	2.69140769512637	0.893261600340811	1
"MAP2K1"	"WT1"	169	1	11	1	14.7524282318759	0.127861089187056	2.69140769512637	0.893261600340811	1
"BCORL1"	"NRAS"	152	8	19	3	2.97465731397966	0.132991750107265	1.09012884378461	0.876175298837557	1
"chr8gain"	"FLT3"	97	15	66	4	0.39372561229544	0.135218546407717	-0.932101027787925	0.868963737017713	1
"MAP2K1"	"RUNX1"	168	1	12	1	13.490757039513	0.138121546961326	2.60200478721535	0.859738566197147	1
"chr11qdel"	"TP53"	168	1	12	1	13.490757039513	0.138121546961326	2.60200478721535	0.859738566197147	1
"IDH2"	"TET2"	117	27	35	3	0.373063192179086	0.141542026973822	-0.986007457657875	0.849114589306976	1
"BRAF"	"NF1"	171	2	8	1	10.3206063638124	0.141879667294032	2.33414251451071	0.848079838613792	1
"chr22gain"	"NF1"	171	2	8	1	10.3206063638124	0.141879667294032	2.33414251451071	0.848079838613792	1
"chr22gain"	"inv(16)"	171	2	8	1	10.3206063638124	0.141879667294032	2.33414251451071	0.848079838613792	1
"chr5loss"	"NF1"	171	2	8	1	10.3206063638124	0.141879667294032	2.33414251451071	0.848079838613792	1
"BCOR"	"CSF1R"	172	6	3	1	9.24289718280527	0.146337216802355	2.22385538443036	0.83464520910086	1
"ATM"	"chr7loss"	172	6	3	1	9.24289718280527	0.146337216802355	2.22385538443036	0.83464520910086	1
"chr11qdel"	"SRSF2"	167	1	13	1	12.4159840260585	0.148321291967701	2.51898467687903	0.828796500216841	1
"IDH1"	"RUNX1"	161	8	11	2	3.61708808087811	0.15304566515922	1.28566930458889	0.815178966779431	1
"FLT3"	"PTPN11"	105	69	7	1	0.218782339540866	0.155420903606873	-1.51967792677026	0.808490570409061	1
"ETV6"	"SMC1A"	172	4	5	1	8.34131069156306	0.155928933467497	2.1212203612845	0.807073291614288	1
"RAD21"	"SMC1A"	172	4	5	1	8.34131069156306	0.155928933467497	2.1212203612845	0.807073291614288	1
"JAK2"	"SMC1A"	172	4	5	1	8.34131069156306	0.155928933467497	2.1212203612845	0.807073291614288	1
"RAD21"	"t(8;21)"	172	4	5	1	8.34131069156306	0.155928933467497	2.1212203612845	0.807073291614288	1
"JAK2"	"t(8;21)"	172	4	5	1	8.34131069156306	0.155928933467497	2.1212203612845	0.807073291614288	1
"chr5qdel"	"EZH2"	172	5	4	1	8.34131069156274	0.155928933467497	2.12122036128447	0.807073291614288	1
"chr5qdel"	"JAK2"	172	5	4	1	8.34131069156274	0.155928933467497	2.12122036128447	0.807073291614288	1
"chr21gain"	"ETV6"	172	5	4	1	8.34131069156274	0.155928933467497	2.12122036128447	0.807073291614288	1
"chr21gain"	"EZH2"	172	5	4	1	8.34131069156274	0.155928933467497	2.12122036128447	0.807073291614288	1
"chr21gain"	"ZRSR2"	172	5	4	1	8.34131069156274	0.155928933467497	2.12122036128447	0.807073291614288	1
"FLT3"	"inv(16)"	104	69	8	1	0.189687196419744	0.15639351443329	-1.6623788981527	0.805781260894047	1
"CBL"	"IDH1"	170	2	9	1	9.15782672426179	0.156760366705118	2.21460889335944	0.804763729259877	1
"CBL"	"STAG2"	170	2	9	1	9.15782672426179	0.156760366705118	2.21460889335944	0.804763729259877	1
"STAG2"	"t(11;19)"	170	9	2	1	9.15782672426179	0.156760366705118	2.21460889335944	0.804763729259877	1
"KRAS"	"t(11;19)"	170	9	2	1	9.15782672426179	0.156760366705118	2.21460889335944	0.804763729259877	1
"chr5loss"	"IDH1"	170	2	9	1	9.15782672426179	0.156760366705118	2.21460889335944	0.804763729259877	1
"BCOR"	"chr8gain"	158	5	17	2	3.67576294281179	0.157986118465336	1.30176071460438	0.801381070885789	1
"NRAS"	"WT1"	151	19	9	3	2.63001718295273	0.163448331228244	0.966990379610433	0.786619509112764	1
"BIRC3"	"IDH2"	152	0	29	1	Inf	0.164835164835165	Inf	0.782950133265412	1
"IDH2"	"MYD88"	152	29	0	1	Inf	0.164835164835164	Inf	0.782950133265415	1
"chr7loss"	"PTPN11"	171	3	7	1	7.91618624595554	0.165849508989729	2.06890955524974	0.780285809904926	1
"PTPN11"	"SF3B1"	171	7	3	1	7.91618624595523	0.165849508989729	2.0689095552497	0.780285809904926	1
"BCORL1"	"BRAF"	169	10	2	1	8.22124175545565	0.171468034727703	2.10672126279949	0.765816829762738	1
"BCORL1"	"U2AF1"	169	10	2	1	8.22124175545565	0.171468034727703	2.10672126279949	0.765816829762738	1
"DNMT3A"	"STAG2"	115	57	9	1	0.225514884283274	0.172652031838237	-1.48936911652689	0.762828306333107	1
"SRSF2"	"STAG2"	160	12	8	2	3.29940424077512	0.173264734160725	1.19374191907592	0.761289823425468	1
"SRSF2"	"TET2"	135	9	33	5	2.26047256096762	0.173603210931327	0.815573889199585	0.760442246458715	1
"NRAS"	"TET2"	124	20	36	2	0.34601143292864	0.173790871287749	-1.06128346132397	0.759973039472385	1
"BCORL1"	"DNMT3A"	114	10	57	1	0.201269393679042	0.177938134623525	-1.60311100121934	0.749730966577443	1
"BCORL1"	"NPM1"	114	10	57	1	0.201269393679042	0.177938134623525	-1.60311100121934	0.749730966577443	1
"NPM1"	"SMC1A"	118	58	6	0	0	0.178914152719674	-Inf	0.747355303899092	1
"NPM1"	"t(8;21)"	118	58	6	0	0	0.178914152719674	-Inf	0.747355303899092	1
"chr5qdel"	"NPM1"	118	6	58	0	0	0.178914152719674	-Inf	0.747355303899092	1
"chr21gain"	"DNMT3A"	118	6	58	0	0	0.178914152719674	-Inf	0.747355303899092	1
"chr21gain"	"NPM1"	118	6	58	0	0	0.178914152719674	-Inf	0.747355303899092	1
"MYC"	"NPM1"	119	5	58	0	0	0.179333178940255	-Inf	0.746339352949691	1
"EZH2"	"NPM1"	119	5	58	0	0	0.179333178940255	-Inf	0.746339352949691	1
"DNMT3A"	"ZRSR2"	119	58	5	0	0	0.179333178940255	-Inf	0.746339352949691	1
"NPM1"	"ZRSR2"	119	58	5	0	0	0.179333178940255	-Inf	0.746339352949691	1
"DNMT3A"	"JAK2"	119	58	5	0	0	0.179333178940255	-Inf	0.746339352949691	1
"JAK2"	"NPM1"	119	5	58	0	0	0.179333178940255	-Inf	0.746339352949691	1
"EZH2"	"PHF6"	171	4	6	1	6.9468912957508	0.179908225130352	1.93829426393477	0.744948980917554	1
"JAK2"	"PHF6"	171	4	6	1	6.9468912957508	0.179908225130352	1.93829426393477	0.744948980917554	1
"ASXL1"	"WT1"	150	20	9	3	2.48328597517484	0.180694370287997	0.909582673142123	0.743055378102846	1
"SMC1A"	"t(8;21)"	171	5	5	1	6.67479244964966	0.184541511994022	1.89833811011745	0.733905925428676	1
"chr21gain"	"SMC1A"	171	5	5	1	6.67479244964966	0.184541511994022	1.89833811011745	0.733905925428676	1
"NF1"	"SF3B1"	170	8	3	1	6.91234073094413	0.185025382346287	1.9333083258516	0.73276868966843	1
"CSF1R"	"NF1"	170	3	8	1	6.91234073094413	0.185025382346287	1.9333083258516	0.73276868966843	1
"NF1"	"NOTCH1"	170	8	3	1	6.91234073094413	0.185025382346287	1.9333083258516	0.73276868966843	1
"chr7loss"	"NF1"	170	3	8	1	6.91234073094413	0.185025382346287	1.9333083258516	0.73276868966843	1
"CSF1R"	"inv(16)"	170	3	8	1	6.91234073094413	0.185025382346287	1.9333083258516	0.73276868966843	1
"MYCN"	"WT1"	168	2	11	1	7.44862830832502	0.186003683241252	2.00802989575144	0.730478455806205	1
"ETV6"	"IDH2"	149	3	28	2	3.51312848031687	0.190869027859419	1.25650694543498	0.719264538453013	1
"IDH2"	"JAK2"	149	28	3	2	3.51312848031693	0.190869027859419	1.256506945435	0.719264538453013	1
"chr8gain"	"t(15;17)"	162	18	1	1	8.78835539282561	0.198409325481149	2.17342759439943	0.7024379193299	1
"chr11qdel"	"chr8gain"	162	1	18	1	8.78835539282603	0.198409325481149	2.17342759439948	0.7024379193299	1
"chr8gain"	"MAP2K1"	162	18	1	1	8.78835539282561	0.198409325481149	2.17342759439943	0.7024379193299	1
"CDKN2A"	"chr8gain"	162	1	18	1	8.78835539282603	0.198409325481149	2.17342759439948	0.7024379193299	1
"HNRNPK"	"TP53"	167	2	12	1	6.80331187209651	0.20036832412523	1.91740953363076	0.698170934226686	1
"chr13gain"	"TP53"	167	2	12	1	6.80331187209651	0.20036832412523	1.91740953363076	0.698170934226686	1
"ATM"	"NRAS"	155	5	20	2	3.07234289977535	0.201454946304112	1.12244043007688	0.695822064953639	1
"BCORL1"	"SRSF2"	159	9	12	2	2.9189840550533	0.202522301708121	1.07123562938816	0.693527145409948	1
"PTPN11"	"RAD21"	170	7	4	1	5.94242115070769	0.203339418698056	1.78211665145702	0.691778422328046	1
"IDH1"	"SF3B1"	169	9	3	1	6.12577125105942	0.203868726107067	1.81250466704403	0.690649390802708	1
"KRAS"	"NOTCH1"	169	9	3	1	6.12577125105942	0.203868726107067	1.81250466704403	0.690649390802708	1
"chr17loss"	"IDH1"	169	3	9	1	6.12577125105942	0.203868726107067	1.81250466704403	0.690649390802708	1
"POT1"	"TET2"	144	0	37	1	Inf	0.208791208791209	Inf	0.680287791368264	1
"IL7R"	"TET2"	144	0	37	1	Inf	0.208791208791209	Inf	0.680287791368264	1
"TBL1XR1"	"TET2"	144	0	37	1	Inf	0.208791208791209	Inf	0.680287791368264	1
"PHF6"	"SMC1A"	170	6	5	1	5.55378673650292	0.212341233176044	1.71447998996641	0.672965664797453	1
"ATM"	"t(8;21)"	170	6	5	1	5.55378673650292	0.212341233176044	1.71447998996641	0.672965664797453	1
"chr22gain"	"SRSF2"	166	2	13	1	6.25535305207144	0.214562969259102	1.83343758550291	0.668445229407089	1
"chr13gain"	"SRSF2"	166	2	13	1	6.25535305207144	0.214562969259102	1.83343758550291	0.668445229407089	1
"ASXL1"	"RUNX1"	149	20	10	3	2.22241904826431	0.215693684850439	0.798596264014468	0.66616257012581	1
"KRAS"	"TET2"	138	6	34	4	2.68728386090376	0.220692209146452	0.988530966369846	0.656212997986632	1
"IDH2"	"WT1"	140	30	12	0	0	0.220959025975203	-Inf	0.655688253204831	1
"BCORL1"	"CSF1R"	168	10	3	1	5.49480856579114	0.222383406895274	1.70380374935813	0.652897620699071	1
"chr17loss"	"KIT"	168	3	10	1	5.49480856579114	0.222383406895275	1.70380374935813	0.652897620699069	1
"EZH2"	"NF1"	169	4	8	1	5.18533835786657	0.226231964137767	1.64583509661436	0.645446033946695	1
"ETV6"	"NF1"	169	4	8	1	5.18533835786657	0.226231964137767	1.64583509661436	0.645446033946695	1
"inv(16)"	"MYC"	169	8	4	1	5.18533835786684	0.226231964137767	1.64583509661441	0.645446033946695	1
"EZH2"	"inv(16)"	169	4	8	1	5.18533835786657	0.226231964137767	1.64583509661436	0.645446033946695	1
"inv(16)"	"RAD21"	169	8	4	1	5.18533835786684	0.226231964137767	1.64583509661441	0.645446033946695	1
"MAP2K1"	"NRAS"	159	1	21	1	7.42082443220655	0.227733592374476	2.00429016046889	0.642572903039556	1
"NRAS"	"PTEN"	159	21	1	1	7.42082443220655	0.227733592374476	2.00429016046889	0.642572903039556	1
