182 diagnosis samples, 119 CR1 samples, 76 Rel1 samples, 27 Ref1 samples, 20 CR2 samples, 13 Rel2 samples, 4 Ref2 samples
gene	DiagnosisMutCt	DiagnosisMutFreq	CR1mutCt	CR1mutFreq	Rel1MutCt	Rel1MutFreq	Ref1MutCt	Ref1MutFreq	CR2mutCt	CR2mutFreq	Rel2MutCt	Rel2MutFreq	Ref2MutCt	Ref2MutFreq	CR1_2mutCt	CR1_2mutFreq	Rel1_2MutCt	Rel1_2MutFreq	Ref1_2MutCt	Ref1_2MutFreq
WT1	12	0.0659340659340659	1	0.00840336134453781	8	0.105263157894737	7	0.259259259259259	2	0.1	1	0.0769230769230769	1	0.25	3	0.0215827338129496	9	0.101123595505618	8	0.258064516129032
BCORL1	11	0.0604395604395604	3	0.0252100840336134	0	0	1	0.037037037037037	0	0	1	0.0769230769230769	0	0	3	0.0215827338129496	1	0.0112359550561798	1	0.032258064516129
KIT	11	0.0604395604395604	0	0	3	0.0394736842105263	3	0.111111111111111	0	0	0	0	0	0	0	0	3	0.0337078651685393	3	0.0967741935483871
STAG2	10	0.0549450549450549	3	0.0252100840336134	1	0.0131578947368421	0	0	1	0.05	0	0	0	0	4	0.0287769784172662	1	0.0112359550561798	0	0
KRAS	10	0.0549450549450549	1	0.00840336134453781	1	0.0131578947368421	1	0.037037037037037	0	0	0	0	0	0	1	0.00719424460431655	1	0.0112359550561798	1	0.032258064516129
IDH1	10	0.0549450549450549	2	0.0168067226890756	4	0.0526315789473684	1	0.037037037037037	0	0	1	0.0769230769230769	0	0	2	0.0143884892086331	5	0.0561797752808989	1	0.032258064516129
NF1	9	0.0494505494505494	2	0.0168067226890756	2	0.0263157894736842	0	0	0	0	0	0	0	0	2	0.0143884892086331	2	0.0224719101123595	0	0
inv(16)	9	0.0494505494505494	1	0.00840336134453781	3	0.0394736842105263	0	0	0	0	1	0.0769230769230769	0	0	1	0.00719424460431655	4	0.0449438202247191	0	0
PTPN11	8	0.043956043956044	0	0	0	0	2	0.0740740740740741	1	0.05	1	0.0769230769230769	0	0	1	0.00719424460431655	1	0.0112359550561798	2	0.0645161290322581
ATM	7	0.0384615384615385	4	0.0336134453781513	3	0.0394736842105263	1	0.037037037037037	0	0	0	0	0	0	4	0.0287769784172662	3	0.0337078651685393	1	0.032258064516129
BCOR	7	0.0384615384615385	3	0.0252100840336134	2	0.0263157894736842	2	0.0740740740740741	1	0.05	1	0.0769230769230769	0	0	4	0.0287769784172662	3	0.0337078651685393	2	0.0645161290322581
PHF6	7	0.0384615384615385	1	0.00840336134453781	3	0.0394736842105263	1	0.037037037037037	0	0	1	0.0769230769230769	0	0	1	0.00719424460431655	4	0.0449438202247191	1	0.032258064516129
chr5qdel	6	0.032967032967033	1	0.00840336134453781	1	0.0131578947368421	0	0	0	0	0	0	0	0	1	0.00719424460431655	1	0.0112359550561798	0	0
chr21gain	6	0.032967032967033	0	0	2	0.0263157894736842	0	0	0	0	1	0.0769230769230769	0	0	0	0	3	0.0337078651685393	0	0
t(8;21)	6	0.032967032967033	1	0.00840336134453781	3	0.0394736842105263	0	0	0	0	1	0.0769230769230769	0	0	1	0.00719424460431655	4	0.0449438202247191	0	0
SMC1A	6	0.032967032967033	1	0.00840336134453781	0	0	1	0.037037037037037	0	0	0	0	0	0	1	0.00719424460431655	0	0	1	0.032258064516129
EZH2	5	0.0274725274725275	1	0.00840336134453781	4	0.0526315789473684	1	0.037037037037037	0	0	0	0	0	0	1	0.00719424460431655	4	0.0449438202247191	1	0.032258064516129
ETV6	5	0.0274725274725275	0	0	4	0.0526315789473684	0	0	0	0	0	0	1	0.25	0	0	4	0.0449438202247191	1	0.032258064516129
MYC	5	0.0274725274725275	2	0.0168067226890756	2	0.0263157894736842	0	0	0	0	0	0	0	0	2	0.0143884892086331	2	0.0224719101123595	0	0
RAD21	5	0.0274725274725275	1	0.00840336134453781	1	0.0131578947368421	0	0	0	0	0	0	0	0	1	0.00719424460431655	1	0.0112359550561798	0	0
ZRSR2	5	0.0274725274725275	2	0.0168067226890756	2	0.0263157894736842	2	0.0740740740740741	0	0	0	0	0	0	2	0.0143884892086331	2	0.0224719101123595	2	0.0645161290322581
JAK2	5	0.0274725274725275	2	0.0168067226890756	1	0.0131578947368421	2	0.0740740740740741	0	0	0	0	0	0	2	0.0143884892086331	1	0.0112359550561798	2	0.0645161290322581
SF3B1	4	0.021978021978022	1	0.00840336134453781	3	0.0394736842105263	1	0.037037037037037	1	0.05	0	0	0	0	2	0.0143884892086331	3	0.0337078651685393	1	0.032258064516129
chr7loss	4	0.021978021978022	0	0	2	0.0263157894736842	1	0.037037037037037	0	0	2	0.153846153846154	0	0	0	0	4	0.0449438202247191	1	0.032258064516129
chr17loss	4	0.021978021978022	1	0.00840336134453781	2	0.0263157894736842	0	0	0	0	0	0	0	0	1	0.00719424460431655	2	0.0224719101123595	0	0
CSF1R	4	0.021978021978022	3	0.0252100840336134	0	0	0	0	1	0.05	0	0	0	0	4	0.0287769784172662	0	0	0	0
NOTCH1	4	0.021978021978022	1	0.00840336134453781	4	0.0526315789473684	0	0	0	0	0	0	1	0.25	1	0.00719424460431655	4	0.0449438202247191	1	0.032258064516129
chr7qdel	4	0.021978021978022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t(11;19)	3	0.0164835164835165	1	0.00840336134453781	0	0	1	0.037037037037037	0	0	0	0	0	0	1	0.00719424460431655	0	0	1	0.032258064516129
CBL	3	0.0164835164835165	2	0.0168067226890756	3	0.0394736842105263	1	0.037037037037037	0	0	0	0	0	0	2	0.0143884892086331	3	0.0337078651685393	1	0.032258064516129
BRAF	3	0.0164835164835165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr13gain	3	0.0164835164835165	0	0	2	0.0263157894736842	0	0	0	0	1	0.0769230769230769	0	0	0	0	3	0.0337078651685393	0	0
U2AF1	3	0.0164835164835165	2	0.0168067226890756	1	0.0131578947368421	1	0.037037037037037	1	0.05	1	0.0769230769230769	0	0	3	0.0215827338129496	2	0.0224719101123595	1	0.032258064516129
chr5loss	3	0.0164835164835165	0	0	1	0.0131578947368421	0	0	0	0	0	0	0	0	0	0	1	0.0112359550561798	0	0
chr22gain	3	0.0164835164835165	0	0	1	0.0131578947368421	0	0	0	0	0	0	0	0	0	0	1	0.0112359550561798	0	0
MYCN	3	0.0164835164835165	2	0.0168067226890756	1	0.0131578947368421	2	0.0740740740740741	0	0	0	0	0	0	2	0.0143884892086331	1	0.0112359550561798	2	0.0645161290322581
HNRNPK	3	0.0164835164835165	0	0	0	0	1	0.037037037037037	0	0	0	0	0	0	0	0	0	0	1	0.032258064516129
chr11qdel	2	0.010989010989011	0	0	2	0.0263157894736842	0	0	0	0	1	0.0769230769230769	0	0	0	0	3	0.0337078651685393	0	0
PTEN	2	0.010989010989011	0	0	1	0.0131578947368421	0	0	1	0.05	0	0	0	0	1	0.00719424460431655	1	0.0112359550561798	0	0
CDKN2A	2	0.010989010989011	2	0.0168067226890756	1	0.0131578947368421	0	0	0	0	0	0	0	0	2	0.0143884892086331	1	0.0112359550561798	0	0
MAP2K1	2	0.010989010989011	1	0.00840336134453781	0	0	0	0	0	0	0	0	0	0	1	0.00719424460431655	0	0	0	0
SETBP1	2	0.010989010989011	1	0.00840336134453781	1	0.0131578947368421	0	0	1	0.05	0	0	0	0	2	0.0143884892086331	1	0.0112359550561798	0	0
CSF3R	2	0.010989010989011	0	0	1	0.0131578947368421	0	0	1	0.05	1	0.0769230769230769	0	0	1	0.00719424460431655	2	0.0224719101123595	0	0
t(15;17)	2	0.010989010989011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TBL1XR1	1	0.00549450549450549	0	0	1	0.0131578947368421	0	0	0	0	0	0	0	0	0	0	1	0.0112359550561798	0	0
RIT1	1	0.00549450549450549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MYD88	1	0.00549450549450549	1	0.00840336134453781	0	0	0	0	0	0	0	0	0	0	1	0.00719424460431655	0	0	0	0
POT1	1	0.00549450549450549	0	0	1	0.0131578947368421	0	0	1	0.05	0	0	0	0	1	0.00719424460431655	1	0.0112359550561798	0	0
BIRC3	1	0.00549450549450549	1	0.00840336134453781	1	0.0131578947368421	0	0	0	0	0	0	0	0	1	0.00719424460431655	1	0.0112359550561798	0	0
IL7R	1	0.00549450549450549	1	0.00840336134453781	0	0	0	0	0	0	0	0	0	0	1	0.00719424460431655	0	0	0	0
BRINP3	1	0.00549450549450549	1	0.00840336134453781	0	0	0	0	0	0	0	0	0	0	1	0.00719424460431655	0	0	0	0
t(16;16)	1	0.00549450549450549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
U2AF2	1	0.00549450549450549	0	0	2	0.0263157894736842	0	0	0	0	0	0	0	0	0	0	2	0.0224719101123595	0	0
ABL1	1	0.00549450549450549	1	0.00840336134453781	2	0.0263157894736842	0	0	0	0	0	0	0	0	1	0.00719424460431655	2	0.0224719101123595	0	0
NOTCH2	1	0.00549450549450549	0	0	1	0.0131578947368421	0	0	0	0	0	0	0	0	0	0	1	0.0112359550561798	0	0
PRPF40B	1	0.00549450549450549	1	0.00840336134453781	0	0	0	0	0	0	0	0	0	0	1	0.00719424460431655	0	0	0	0
FBXW7	1	0.00549450549450549	1	0.00840336134453781	0	0	0	0	0	0	0	0	0	0	1	0.00719424460431655	0	0	0	0
GATA2	1	0.00549450549450549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDH2	1	0.00549450549450549	1	0.00840336134453781	1	0.0131578947368421	0	0	1	0.05	1	0.0769230769230769	0	0	2	0.0143884892086331	2	0.0224719101123595	0	0
SF1	1	0.00549450549450549	1	0.00840336134453781	0	0	1	0.037037037037037	0	0	0	0	0	0	1	0.00719424460431655	0	0	1	0.032258064516129
MPL	0	0	1	0.00840336134453781	0	0	0	0	0	0	0	0	0	0	1	0.00719424460431655	0	0	0	0
t(9;22)	0	0	0	0	0	0	0	0	1	0.05	0	0	0	0	1	0.00719424460431655	0	0	0	0
