"gene"	"DiagnosisMutCt"	"DiagnosisMutFreq"	"CR1mutCt"	"CR1mutFreq"	"Rel1MutCt"	"Rel1MutFreq"	"Ref1MutCt"	"Ref1MutFreq"	"CR2mutCt"	"CR2mutFreq"	"Rel2MutCt"	"Rel2MutFreq"	"Ref2MutCt"	"Ref2MutFreq"	"CR1_2mutCt"	"CR1_2mutFreq"	"Rel1_2MutCt"	"Rel1_2MutFreq"	"Ref1_2MutCt"	"Ref1_2MutFreq"	"fisher.diag_cr1"	"fisher.diag_cr1.nlp"	"fisher.cr1_rel1"	"fisher.cr1_rel1.nlp"	"fisher.diag_rel1"	"fisher.diag_rel1.nlp"	"fisher.ref1_rel1"	"fisher.ref1_rel1.nlp"
"RUNX1"	13	7.14285714285714	4	3.36134453781513	3	3.94736842105263	0	0	0	0	0	0	1	0.25	4	0.0287769784172662	3	0.0337078651685393	1	0.032258064516129	0.20637418417807	0	1	0	0.408438984581744	0	0.564887956528377	0
"WT1"	12	6.59340659340659	1	0.840336134453781	8	10.5263157894737	7	25.9259259259259	2	0.1	1	0.0769230769230769	1	0.25	3	0.0215827338129496	9	0.101123595505618	8	0.258064516129032	0.0182789789740289	1.73804806671648	0.002561816557947	2.59145197167317	0.310266085402994	0	0.0627931258994435	0
"KIT"	11	6.04395604395604	0	0	3	3.94736842105263	3	11.1111111111111	0	0	0	0	0	0	0	0	3	0.0337078651685393	3	0.0967741935483871	0.00402508967729904	2.39522443929058	0.0577714043875039	0	0.763665191048502	0	0.183290737843117	0
"BCORL1"	11	6.04395604395604	3	2.52100840336134	0	0	1	3.7037037037037	0	0	1	0.0769230769230769	0	0	3	0.0215827338129496	1	0.0112359550561798	1	0.032258064516129	0.26196630873662	0	0.282791435368755	0	0.0369516964199429	1.43236561873307	0.262135922330097	0
"KRAS"	10	5.49450549450549	1	0.840336134453781	1	1.31578947368421	1	3.7037037037037	0	0	0	0	0	0	1	0.00719424460431655	1	0.0112359550561798	1	0.032258064516129	0.0550158151980801	0	1	0	0.182961187020866	0	0.457452884066248	0
"STAG2"	10	5.49450549450549	3	2.52100840336134	1	1.31578947368421	0	0	1	0.05	0	0	0	0	4	0.0287769784172662	1	0.0112359550561798	0	0	0.258585596905988	0	1	0	0.182961187020866	0	1	0
"IDH1"	10	5.49450549450549	2	1.68067226890756	4	5.26315789473684	1	3.7037037037037	0	0	1	0.0769230769230769	0	0	2	0.0143884892086331	5	0.0561797752808989	1	0.032258064516129	0.134080375076605	0	0.210809982965626	0	1	0	1	0
"NF1"	9	4.94505494505494	2	1.68067226890756	2	2.63157894736842	0	0	0	0	0	0	0	0	2	0.0143884892086331	2	0.0224719101123595	0	0	0.21038099641938	0	0.643718284279686	0	0.515911823157953	0	1	0
"inv(16)"	9	4.94505494505494	1	0.840336134453781	3	3.94736842105263	0	0	0	0	1	0.0769230769230769	0	0	1	0.00719424460431655	4	0.0449438202247191	0	0	0.0950358749328395	0	0.301139711471691	0	1	0	0.564887956528377	0
"PTPN11"	8	4.3956043956044	0	0	0	0	2	7.40740740740741	1	0.05	1	0.0769230769230769	0	0	1	0.00719424460431655	1	0.0112359550561798	2	0.0645161290322581	0.0240052543134091	1.61969368872313	1	0	0.109589765587931	0	0.0668189605939463	0
"PHF6"	7	3.84615384615385	1	0.840336134453781	3	3.94736842105263	1	3.7037037037037	0	0	1	0.0769230769230769	0	0	1	0.00719424460431655	4	0.0449438202247191	1	0.032258064516129	0.152903463788433	0	0.301139711471691	0	1	0	1	0
"ATM"	7	3.84615384615385	4	3.36134453781513	3	3.94736842105263	1	3.7037037037037	0	0	0	0	0	0	4	0.0287769784172662	3	0.0337078651685393	1	0.032258064516129	1	0	1	0	1	0	1	0
"BCOR"	7	3.84615384615385	3	2.52100840336134	2	2.63157894736842	2	7.40740740740741	1	0.05	1	0.0769230769230769	0	0	4	0.0287769784172662	3	0.0337078651685393	2	0.0645161290322581	0.745013198822997	0	1	0	1	0	0.280507319721121	0
"t(8;21)"	6	3.2967032967033	1	0.840336134453781	3	3.94736842105263	0	0	0	0	1	0.0769230769230769	0	0	1	0.00719424460431655	4	0.0449438202247191	0	0	0.250969134610736	0	0.301139711471691	0	0.725427329248891	0	0.564887956528377	0
"chr21gain"	6	3.2967032967033	0	0	2	2.63157894736842	0	0	0	0	1	0.0769230769230769	0	0	0	0	3	0.0337078651685393	0	0	0.0846440578289575	0	0.150674068199841	0	1	0	1	0
"SMC1A"	6	3.2967032967033	1	0.840336134453781	0	0	1	3.7037037037037	0	0	0	0	0	0	1	0.00719424460431655	0	0	1	0.032258064516129	0.250969134610736	0	1	0	0.184190308421846	0	0.262135922330097	0
"chr5qdel"	6	3.2967032967033	1	0.840336134453781	1	1.31578947368421	0	0	0	0	0	0	0	0	1	0.00719424460431655	1	0.0112359550561798	0	0	0.250969134610736	0	1	0	0.677372117286679	0	1	0
"MYC"	5	2.74725274725275	2	1.68067226890756	2	2.63157894736842	0	0	0	0	0	0	0	0	2	0.0143884892086331	2	0.0224719101123595	0	0	0.707508671770926	0	0.643718284279686	0	1	0	1	0
"ETV6"	5	2.74725274725275	0	0	4	5.26315789473684	0	0	0	0	0	0	1	0.25	0	0	4	0.0449438202247191	1	0.032258064516129	0.160807003264641	0	0.0219651693764989	1.65826544348014	0.456054898474129	0	0.570689450441332	0
"RAD21"	5	2.74725274725275	1	0.840336134453781	1	1.31578947368421	0	0	0	0	0	0	0	0	1	0.00719424460431655	1	0.0112359550561798	0	0	0.408487209932301	0	1	0	0.673747084896641	0	1	0
"ZRSR2"	5	2.74725274725275	2	1.68067226890756	2	2.63157894736842	2	7.40740740740741	0	0	0	0	0	0	2	0.0143884892086331	2	0.0224719101123595	2	0.0645161290322581	0.707508671770926	0	0.643718284279686	0	1	0	0.280507319721121	0
"EZH2"	5	2.74725274725275	1	0.840336134453781	4	5.26315789473684	1	3.7037037037037	0	0	0	0	0	0	1	0.00719424460431655	4	0.0449438202247191	1	0.032258064516129	0.408487209932301	0	0.0767055914875642	0	0.456054898474129	0	1	0
"JAK2"	5	2.74725274725275	2	1.68067226890756	1	1.31578947368421	2	7.40740740740741	0	0	0	0	0	0	2	0.0143884892086331	1	0.0112359550561798	2	0.0645161290322581	0.707508671770926	0	1	0	0.673747084896641	0	0.167378188418499	0
"chr17loss"	4	2.1978021978022	1	0.840336134453781	2	2.63157894736842	0	0	0	0	0	0	0	0	1	0.00719424460431655	2	0.0224719101123595	0	0	0.651566595303405	0	0.561499426805767	0	1	0	1	0
"NOTCH1"	4	2.1978021978022	1	0.840336134453781	4	5.26315789473684	0	0	0	0	0	0	1	0.25	1	0.00719424460431655	4	0.0449438202247191	1	0.032258064516129	0.651566595303405	0	0.0767055914875642	0	0.239619147865365	0	0.570689450441332	0
"SF3B1"	4	2.1978021978022	1	0.840336134453781	3	3.94736842105263	1	3.7037037037037	1	0.05	0	0	0	0	2	0.0143884892086331	3	0.0337078651685393	1	0.032258064516129	0.651566595303405	0	0.301139711471691	0	0.423571516218867	0	1	0
"chr7loss"	4	2.1978021978022	0	0	2	2.63157894736842	1	3.7037037037037	0	0	2	0.153846153846154	0	0	0	0	4	0.0449438202247191	1	0.032258064516129	0.155603178588636	0	0.150674068199841	0	1	0	1	0
"chr7qdel"	4	2.1978021978022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.155603178588636	0	1	0	0.323268422607483	0	1	0
"CSF1R"	4	2.1978021978022	3	2.52100840336134	0	0	0	0	1	0.05	0	0	0	0	4	0.0287769784172662	0	0	0	0	1	0	0.282791435368755	0	0.323268422607483	0	1	0
"chr5loss"	3	1.64835164835165	0	0	1	1.31578947368421	0	0	0	0	0	0	0	0	0	0	1	0.0112359550561798	0	0	0.28046511627907	0	0.38974358974359	0	1	0	1	0
"MYCN"	3	1.64835164835165	2	1.68067226890756	1	1.31578947368421	2	7.40740740740741	0	0	0	0	0	0	2	0.0143884892086331	1	0.0112359550561798	2	0.0645161290322581	1	0	1	0	1	0	0.167378188418499	0
"chr13gain"	3	1.64835164835165	0	0	2	2.63157894736842	0	0	0	0	1	0.0769230769230769	0	0	0	0	3	0.0337078651685393	0	0	0.28046511627907	0	0.150674068199841	0	0.633146722128224	0	1	0
"t(11;19)"	3	1.64835164835165	1	0.840336134453781	0	0	1	3.7037037037037	0	0	0	0	0	0	1	0.00719424460431655	0	0	1	0.032258064516129	1	0	1	0	0.557521660935662	0	0.262135922330097	0
"HNRNPK"	3	1.64835164835165	0	0	0	0	1	3.7037037037037	0	0	0	0	0	0	0	0	0	0	1	0.032258064516129	0.28046511627907	0	1	0	0.557521660935662	0	0.262135922330097	0
"CBL"	3	1.64835164835165	2	1.68067226890756	3	3.94736842105263	1	3.7037037037037	0	0	0	0	0	0	2	0.0143884892086331	3	0.0337078651685393	1	0.032258064516129	1	0	0.379771358759139	0	0.364024317491853	0	1	0
"chr22gain"	3	1.64835164835165	0	0	1	1.31578947368421	0	0	0	0	0	0	0	0	0	0	1	0.0112359550561798	0	0	0.28046511627907	0	0.38974358974359	0	1	0	1	0
"U2AF1"	3	1.64835164835165	2	1.68067226890756	1	1.31578947368421	1	3.7037037037037	1	0.05	1	0.0769230769230769	0	0	3	0.0215827338129496	2	0.0224719101123595	1	0.032258064516129	1	0	1	0	1	0	0.457452884066248	0
"BRAF"	3	1.64835164835165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.28046511627907	0	1	0	0.557521660935662	0	1	0
"CSF3R"	2	1.0989010989011	0	0	1	1.31578947368421	0	0	1	0.05	1	0.0769230769230769	0	0	1	0.00719424460431655	2	0.0224719101123595	0	0	0.52031007751938	0	0.38974358974359	0	1	0	1	0
"PTEN"	2	1.0989010989011	0	0	1	1.31578947368421	0	0	1	0.05	0	0	0	0	1	0.00719424460431655	1	0.0112359550561798	0	0	0.52031007751938	0	0.38974358974359	0	1	0	1	0
"chr11qdel"	2	1.0989010989011	0	0	2	2.63157894736842	0	0	0	0	1	0.0769230769230769	0	0	0	0	3	0.0337078651685393	0	0	0.52031007751938	0	0.150674068199841	0	0.583549798527682	0	1	0
"SETBP1"	2	1.0989010989011	1	0.840336134453781	1	1.31578947368421	0	0	1	0.05	0	0	0	0	2	0.0143884892086331	1	0.0112359550561798	0	0	1	0	1	0	1	0	1	0
"MAP2K1"	2	1.0989010989011	1	0.840336134453781	0	0	0	0	0	0	0	0	0	0	1	0.00719424460431655	0	0	0	0	1	0	1	0	1	0	1	0
"CDKN2A"	2	1.0989010989011	2	1.68067226890756	1	1.31578947368421	0	0	0	0	0	0	0	0	2	0.0143884892086331	1	0.0112359550561798	0	0	0.64920433493258	0	1	0	1	0	1	0
"t(15;17)"	2	1.0989010989011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.52031007751938	0	1	0	1	0	1	0
"GATA2"	1	0.549450549450549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0
"POT1"	1	0.549450549450549	0	0	1	1.31578947368421	0	0	1	0.05	0	0	0	0	1	0.00719424460431655	1	0.0112359550561798	0	0	1	0	0.38974358974359	0	0.50318221578741	0	1	0
"SF1"	1	0.549450549450549	1	0.840336134453781	0	0	1	3.7037037037037	0	0	0	0	0	0	1	0.00719424460431655	0	0	1	0.032258064516129	1	0	1	0	1	0	0.262135922330097	0
"TBL1XR1"	1	0.549450549450549	0	0	1	1.31578947368421	0	0	0	0	0	0	0	0	0	0	1	0.0112359550561798	0	0	1	0	0.38974358974359	0	0.50318221578741	0	1	0
"U2AF2"	1	0.549450549450549	0	0	2	2.63157894736842	0	0	0	0	0	0	0	0	0	0	2	0.0224719101123595	0	0	1	0	0.150674068199841	0	0.208196656411184	0	1	0
"BRINP3"	1	0.549450549450549	1	0.840336134453781	0	0	0	0	0	0	0	0	0	0	1	0.00719424460431655	0	0	0	0	1	0	1	0	1	0	1	0
"CDH2"	1	0.549450549450549	1	0.840336134453781	1	1.31578947368421	0	0	1	0.05	1	0.0769230769230769	0	0	2	0.0143884892086331	2	0.0224719101123595	0	0	1	0	1	0	0.50318221578741	0	1	0
"PRPF40B"	1	0.549450549450549	1	0.840336134453781	0	0	0	0	0	0	0	0	0	0	1	0.00719424460431655	0	0	0	0	1	0	1	0	1	0	1	0
"FBXW7"	1	0.549450549450549	1	0.840336134453781	0	0	0	0	0	0	0	0	0	0	1	0.00719424460431655	0	0	0	0	1	0	1	0	1	0	1	0
"t(16;16)"	1	0.549450549450549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0
"ABL1"	1	0.549450549450549	1	0.840336134453781	2	2.63157894736842	0	0	0	0	0	0	0	0	1	0.00719424460431655	2	0.0224719101123595	0	0	1	0	0.561499426805767	0	0.208196656411184	0	1	0
"IL7R"	1	0.549450549450549	1	0.840336134453781	0	0	0	0	0	0	0	0	0	0	1	0.00719424460431655	0	0	0	0	1	0	1	0	1	0	1	0
"BIRC3"	1	0.549450549450549	1	0.840336134453781	1	1.31578947368421	0	0	0	0	0	0	0	0	1	0.00719424460431655	1	0.0112359550561798	0	0	1	0	1	0	0.50318221578741	0	1	0
"MYD88"	1	0.549450549450549	1	0.840336134453781	0	0	0	0	0	0	0	0	0	0	1	0.00719424460431655	0	0	0	0	1	0	1	0	1	0	1	0
"RIT1"	1	0.549450549450549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0
"NOTCH2"	1	0.549450549450549	0	0	1	1.31578947368421	0	0	0	0	0	0	0	0	0	0	1	0.0112359550561798	0	0	1	0	0.38974358974359	0	0.50318221578741	0	1	0
"MPL"	0	0	1	0.840336134453781	0	0	0	0	0	0	0	0	0	0	1	0.00719424460431655	0	0	0	0	0.395348837209302	0	1	0	1	0	1	0
"t(9;22)"	0	0	0	0	0	0	0	0	1	0.05	0	0	0	0	1	0.00719424460431655	0	0	0	0	1	0	1	0	1	0	1	0
